product name,price,discount,reviews
"XIAOMI Redmi Note 12, 6.67'' , 4GB+128GB, 50MP, Dual Sim, 33W Fast Charge-Onyx Gray","KSh 23,499",19%,4.4 out of 5(59)
"Generic 14""-42"" TV Flat Panel Wall Bracket Holder Black",KSh 335,26%,4.1 out of 5(2113)
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz","KSh 1,140",40%,4.7 out of 5(236)
"XIAOMI Redmi 12C, 6.71"", 4GB + 128GB, 50MP CAM, 5000mAh, Grey + Smart Watch & Earbuds","KSh 17,599",41%,4.2 out of 5(23)
Garnier Skin Active Pure Charcoal Black Tissue Face Mask,KSh 350,,4.5 out of 5(1715)
"Infinix Hot 30i, 6.56"", 4GB RAM, 128GB, 5000mAh, (DUAL SIM), 4G -  Mirror Black","KSh 19,999",13%,4.4 out of 5(79)
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black","KSh 15,390",23%,4.3 out of 5(122)
"Vitron HTC3200S,32"" Inch Frameless Smart Android TV, Inbuilt Decoder Netflix, Appstore","KSh 13,999",33%,4.3 out of 5(418)
Generic Istanbul 2 Modern TV Stand With LED Lights,"KSh 8,499",39%,4.3 out of 5(50)
NIVEA Perfect & Matte Oil Control Face Wash 50ml,KSh 350,,4.4 out of 5(462)
Waanzilish Mens Sneakers Shoes Breathable Sneakers Causal Shoes Lace Up Shoes Black Shoes,KSh 950,37%,3.9 out of 5(206)
Jikokoa Xtra Stove - Black,"KSh 3,140",22%,4.6 out of 5(228)
Generic 10kg Digital Kitchen Scale Cooking Weighing Scale,KSh 600,40%,4.4 out of 5(21)
Fashion Back To School Shoes Genuine Pure Leather,"KSh 708 - KSh 1,099",63%,3.7 out of 5(222)
Garnier Pure Active - Matte Control Anti-Shine Moisturizer 50ml,KSh 950,,4.5 out of 5(178)
Titan Gel Gold Penis Enlargement Cream Long,KSh 499,,3.8 out of 5(20)
Generic STRAIGHT TOP MOSQUITO NET WITH FOUR METALLIC STANDS,"KSh 1,499 - KSh 1,599",50%,4.2 out of 5(27)
Generic Stereo F9 Bluetooth Earphone  Power Headset,KSh 730,25%,4 out of 5(861)
AILYONS FK-0310 Stainless Steel 2.2L Electric Kettle-Black,"KSh 1,099",39%,4.2 out of 5(123)
"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue","KSh 7,299",34%,4.1 out of 5(100)
"Freeyond F9,3GB+128GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones","KSh 11,990",41%,4 out of 5(142)
Generic All-In-1 Shoe Rack/Coat Rack/Cap Scarf Bag Cloths Hanger,"KSh 1,959",44%,3.8 out of 5(57)
"Itel Able 1 Notebook, 14"", Intel Celeron, 1TB HDD, 4GB RAM, Windows 10 + Free Gifts - Dark Grey","KSh 19,999",50%,3.8 out of 5(18)
Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,KSh 649,45%,4.1 out of 5(545)
NIVEA Lipbalm Hydro Care - 4.8g,KSh 360,,4.6 out of 5(196)
Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,KSh 850 - KSh 900,15%,3.9 out of 5(116)
Fashion Men Leather Loafers & Slip-Ons,KSh 850,49%,3.4 out of 5(133)
Generic Electric Automatic Water Dispenser Pump Rechargeable White,KSh 600,3%,3.8 out of 5(61)
Generic 6Pcs Finest Quality Pure Cotton Checked Men's Boxers Very Comfortable Plaid Men Underwear,"KSh 965 - KSh 1,199",43%,3.8 out of 5(422)
"NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2) + Pearl & Beauty Anti-Perspirant Rollon For Women, 48h - 50ml","KSh 1,168",20%,4.7 out of 5(101)
"Vitron 4388FS 43"" Inch FHD Frameless Smart Android TV INBUILT DECODER + 6 ETRA GIFTS","KSh 24,499",30%,4 out of 5(69)
"Skyworth 43E3A, 43"" Full HD Frameless Smart Android TV – Black","KSh 25,999",42%,4.6 out of 5(144)
Waanzilish Mens Sneakers Sports Shoes Breathable Casual Running Shoes-Black,KSh 600,40%,4.1 out of 5(140)
Garnier Micellar Cleansing Water For Sensitive Skin - 400ml,KSh 559,25%,4.5 out of 5(1809)
"HUILE Hand Press Pump For Dispenser Suitable Homes,Schools,Offices",KSh 499,33%,4.1 out of 5(56)
"HP Refurbished Elitebook 820  Core  I5, 8GB RAM 500GB  HDD -12.5"", Black","KSh 23,990",4%,4.2 out of 5(40)
"Nunix 3 In 1 Blender, Grinder & Chopper Model AK-444 ,","KSh 2,860",36%,4.2 out of 5(50)
Lyons FY-1731 Blender 2 In 1 With Grinder Machines  1.5L,"KSh 1,999",33%,4.2 out of 5(347)
"XIAOMI Redmi 12C, 6.71-inch ,3GB RAM, 64GB, 4G, 5000 MAh - Graphite Gray","KSh 14,999",,4.5 out of 5(29)
Garnier Skin Active Hydrabomb Pomegranate Tissue Face Mask,KSh 350,,4.6 out of 5(1377)
Fashion Men's Soft Sole Leather Shoes - Black,"KSh 1,000",49%,3.5 out of 5(30)
Vitron V527 Tallboy Sub Woofer Home Theatre 2.1 Ch,"KSh 6,147",39%,4.2 out of 5(64)
Minoxidil Kirkland Minoxidil Hair Regrowth Best,KSh 788,,4.1 out of 5(72)
